,Timestamp,Age,Status,I am able to make my own decisions about my education and career path.,I am able to communicate my needs and wants effectively.,I am able to make my own decisions about my appearance and personal style.,I am able to advocate for myself in various situations,I am confident in my ability to solve problems on my own.,I have a support network of friends and family that I can rely on,I am able to handle conflicts and problems on my own without relying on others.,I have a job/source of income,"I manage My own finances, including paying bills and budgeting",My parents encourage me to manage my affairs independently.,My parents use threats/criticism as punishment with little or no justification.,My parents take my feelings into consideration before asking me to do something.,My parents ignore me when I act up.,My parents isolate me with little or no explanation.,My parents explain the reasons behind their expectations.,My parents allow me to give input into family rules. ,My parents give into me when I throw a tantrum.,My parents fulfil all my wishes without hesitation.,My parents encourage me to talk about my problems.,"My parents do not punish me, whenever I am rude with someone",My parents ignore my bad behaviour. ,My parents do not set clear boundaries and consequences for my behavior.,My parents frequently remind me of all the things they have done for me.,My parents yell/shout when they disapprove of my behaviour.,My parents state punishments more often than actually carrying them out.,My parents consider my preferences when they make plans for the family (e.g. weekends and holidays) ,"When I ask my parents the reason for doing something, they say, ’because I am your parent’.","My parents punish me by taking away privileges (e.g., TV, games, visiting friends). ","My parents encourage me to freely speak my mind, even if I disagree with them. ",Social Independence Score,Emotional Independence Score,Financial Independence Score,Authoritative Score,Authoritarian Score,Permissive Score,Neglectful Score,Parental Style
0,12/20/2022 19:03,22,Day Scholar,5,5,4,4,4,2,4,5,1,3,1,4,3,1,3,3,3,3,3,3,3,3,4,4,1,5,4,1,2,3.0999999999999996,4.1000000000000005,1.0,1.0291000000000001,0.5285,-0.6274000000000001,0.23240000000000005,Authoritative
1,12/20/2022 19:04,20,Hostelite,4,3,5,3,3,5,3,1,1,3,2,3,2,2,4,3,2,3,2,3,1,3,5,4,4,4,5,1,2,0.7000000000000002,2.7,-1.3,1.2077,1.9243,0.45219999999999994,-0.10839999999999991,Authoritarian
2,12/20/2022 19:05,21,Hostelite,5,3,5,3,3,5,2,1,1,3,1,1,1,1,5,3,5,5,5,1,1,2,1,1,5,5,1,1,5,0.2999999999999998,2.3,-1.0,2.0277,0.909,-0.9502000000000002,3.2937,Neglectful
3,12/20/2022 19:05,22,Day Scholar,3,3,4,4,2,5,2,1,1,4,1,5,1,1,5,4,2,3,3,1,1,1,1,2,2,5,2,3,4,-1.0,1.0,-2.0,4.2757,0.02260000000000016,-2.4048,2.6367999999999996,Authoritative
4,12/20/2022 19:06,23,Hostelite,1,4,3,4,5,1,4,3,2,1,5,1,5,4,2,1,1,2,1,2,2,2,3,5,3,1,5,5,3,-0.30000000000000004,1.0999999999999999,-1.7,-2.8034999999999997,1.8870000000000002,0.8368,-2.4882,Authoritarian
5,12/20/2022 19:09,22,Day Scholar,4,4,5,5,3,5,3,1,2,4,3,4,2,1,5,4,3,5,4,2,2,2,1,2,1,4,1,1,4,2.0,4.4,-1.0,3.1277,-0.2554,-2.6527,3.0932999999999997,Authoritative
6,12/20/2022 19:12,22,Hostelite,3,1,5,2,1,2,2,1,1,4,2,4,2,3,4,4,4,3,1,2,1,4,4,4,2,3,5,1,2,-4.1,-3.0999999999999996,-2.0,-0.30150000000000027,1.7551999999999999,0.6214,0.06890000000000007,Authoritarian
7,12/20/2022 19:13,20,Hostelite,4,4,4,3,4,5,3,3,2,3,1,4,1,1,3,4,5,3,4,2,3,2,1,3,2,3,1,2,4,2.3999999999999995,3.8,0.0,1.8537,-0.24930000000000002,-1.8317,2.0552,Neglectful
8,12/20/2022 19:17,20,Hostelite,5,3,5,5,5,4,3,4,1,5,1,5,1,1,5,4,3,5,5,1,1,1,1,1,2,5,1,1,5,4.4,4.7,0.7,4.608899999999999,-0.2609,-2.6093999999999995,3.5925,Authoritative
9,12/20/2022 19:20,21,Hostelite,3,5,5,3,4,4,4,1,1,4,1,5,1,1,5,5,3,5,5,1,1,1,1,1,5,5,1,1,5,1.0999999999999996,4.1000000000000005,-2.0,4.423,0.204,-1.566,3.8489999999999998,Authoritative
10,12/20/2022 19:21,22,Hostelite,4,3,4,2,3,4,4,1,3,4,2,3,1,1,2,4,1,3,3,2,1,1,2,4,3,5,1,1,4,1.0999999999999996,2.0999999999999996,-0.30000000000000004,2.9087,0.2096,-1.5484000000000002,0.7788,Authoritative
11,12/20/2022 19:22,22,Day Scholar,5,4,5,4,2,4,2,2,1,2,2,4,2,1,3,2,1,2,5,2,2,1,3,5,2,3,4,5,4,0.30000000000000004,2.7,-0.7,2.7318000000000002,1.3532000000000002,-1.3522999999999996,-0.241,Authoritative
