,Timestamp,Age,Status,I am able to make my own decisions about my education and career path.,I am able to communicate my needs and wants effectively.,I am able to make my own decisions about my appearance and personal style.,I am able to advocate for myself in various situations,I am confident in my ability to solve problems on my own.,I have a support network of friends and family that I can rely on,I am able to handle conflicts and problems on my own without relying on others.,I have a job/source of income,"I manage My own finances, including paying bills and budgeting",My parents encourage me to manage my affairs independently.,My parents use threats/criticism as punishment with little or no justification.,My parents take my feelings into consideration before asking me to do something.,My parents ignore me when I act up.,My parents isolate me with little or no explanation.,My parents explain the reasons behind their expectations.,My parents allow me to give input into family rules. ,My parents give into me when I throw a tantrum.,My parents fulfil all my wishes without hesitation.,My parents encourage me to talk about my problems.,"My parents do not punish me, whenever I am rude with someone",My parents ignore my bad behaviour. ,My parents do not set clear boundaries and consequences for my behavior.,My parents frequently remind me of all the things they have done for me.,My parents yell/shout when they disapprove of my behaviour.,My parents state punishments more often than actually carrying them out.,My parents consider my preferences when they make plans for the family (e.g. weekends and holidays) ,"When I ask my parents the reason for doing something, they say, because I am your parent.","My parents punish me by taking away privileges (e.g., TV, games, visiting friends). ","My parents encourage me to freely speak my mind, even if I disagree with them. ",Social Independence Score,Emotional Independence Score,Financial Independence Score,Authoritative Score,Controlling Score,Permissive Score,Neglectful Score,Parental Style,,,,,,,,
0,2022/12/20 7:02:59 PM GMT+5,22,Day Scholar,5,5,4,4,4,2,4,5,1,3,1,4,3,1,3,3,3,3,3,3,3,3,4,4,1,5,4,1,2,-4.1,-1.4,-2,1.0257,-0.4419,0.3575,0.3593,Authoritative,,,,Authoritative,,Mostly,,
3,2022/12/20 7:05:59 PM GMT+5,22,Day Scholar,3,3,4,4,2,5,2,1,1,4,1,5,1,1,5,4,2,3,3,1,1,1,1,2,2,5,2,3,4,-2,-0.4,-2,2.8743,-0.4814,-2.541,2.2787,Authoritative,,,,Social,"(-4.1,6.4)","(-2,4.4)",,Mixture 
5,2022/12/20 7:09:47 PM GMT+5,22,Day Scholar,4,4,5,5,3,5,3,1,2,4,3,4,2,1,5,4,3,5,4,2,2,2,1,2,1,4,1,1,4,-1,0,-2,2.61,0.102,-1.1519,1.5102,Authoritative,,,,Emotional,"(-1.4,6)",0+,,Emotionally more stable
8,2022/12/20 7:17:39 PM GMT+5,20,Hostelite,5,3,5,5,5,4,3,4,1,5,1,5,1,1,5,4,3,5,5,1,1,1,1,1,2,5,1,1,5,-0.6,0.1,-2,0.8378,0.5006,-1.1945,-0.457,Authoritative,,,,Financial,Negative,,,Not Financial Independence
9,2022/12/20 7:20:25 PM GMT+5,21,Hostelite,3,5,5,3,4,4,4,1,1,4,1,5,1,1,5,5,3,5,5,1,1,1,1,1,5,5,1,1,5,-0.6,0.3,-2,4.2757,0.0226,-2.4048,2.6368,Authoritative,,,,Total,,,,
10,2022/12/20 7:21:00 PM GMT+5,22,Hostelite,4,3,4,2,3,4,4,1,3,4,2,3,1,1,2,4,1,3,3,2,1,1,2,4,3,5,1,1,4,-0.6,0.9,-2,3.2321,1.2065,0.6144,2.8441,Authoritative,,,,Average,,,,
11,2022/12/20 7:22:18 PM GMT+5,22,Day Scholar,5,4,5,4,2,4,2,2,1,2,2,4,2,1,3,2,1,2,5,2,2,1,3,5,2,3,4,5,4,-0.3,1,-2,2.5879,-0.2492,-0.6448,1.7288,Authoritative,,,,,,,,
12,2022/12/20 7:25:17 PM GMT+5,20,Hostelite,5,3,5,5,4,3,5,1,1,1,1,5,1,1,3,5,3,5,5,2,1,1,1,2,1,5,1,1,5,0,1.4,-2,1.772,1.3436,-1.4574,1.0358,Authoritative,,,,,,,,
14,2022/12/20 7:30:25 PM GMT+5,19,Day Scholar,5,5,5,5,4,4,4,1,1,5,1,5,1,1,4,5,4,5,5,2,2,2,1,1,3,5,1,2,5,0,1.7,-2,3.6718,0.6741,-1.2217,1.1133,Authoritative,,,,Controlling,,,,
15,2022/12/20 7:40:24 PM GMT+5,20,Day Scholar,5,3,3,2,5,5,5,1,1,3,1,4,1,1,4,5,3,1,2,1,1,1,1,1,3,5,1,1,5,0.1,1.7,-2,0.868,-0.5047,-0.854,0.2604,Authoritative,,,,Social,"(-4.1,2.7)","(-2.4,2.7)",,More unstable
17,2022/12/20 7:51:34 PM GMT+5,20,Hostelite,5,2,5,5,2,5,2,1,1,5,1,5,1,1,5,5,5,4,5,2,1,2,2,5,4,5,3,5,5,0.1,2,-2,2.6401,1.0164,-1.7151,1.1582,Authoritative,,,,Emotional,"(-3.5,5.7)","(-3.5, 2.7)",,Most Emotionlly Unstable
18,2022/12/20 7:53:52 PM GMT+5,23,Day Scholar,2,4,2,3,3,2,3,1,1,5,2,4,3,2,2,3,3,4,2,3,2,2,3,2,4,3,3,2,4,0.3,2.1,-2,2.9298,0.6205,0.1564,-0.6983,Authoritative,,,,Financial,Negative,,,Not Financial Independence
19,2022/12/20 8:12:53 PM GMT+5,21,Hostelite,4,3,5,3,3,5,3,1,1,3,2,3,1,1,4,3,1,3,3,1,1,1,2,3,3,3,2,3,3,0.4,2.1,-2,4.0596,-0.4936,-0.8045,1.9252,Authoritative,,,,Total,,,,
21,2022/12/20 8:40:08 PM GMT+5,18,Day Scholar,3,3,4,3,4,3,4,2,2,3,2,4,2,1,3,3,2,1,3,2,1,2,3,3,3,3,3,4,3,0.4,2.1,-2,3.1594,0.2632,-2.8709,3.1114,Authoritative,,,,Average,,,,
22,2022/12/20 8:40:58 PM GMT+5,20,Hostelite,3,4,4,4,4,4,4,1,1,4,1,4,2,2,4,4,3,3,5,3,3,2,4,2,4,5,3,1,4,0.4,2.1,-2,2.779,0.2726,-2.4626,2.6818,Authoritative,,,,,,,,
23,2022/12/20 8:52:12 PM GMT+5,19,Hostelite,5,5,5,5,5,4,5,2,2,4,1,5,1,1,5,5,2,2,5,2,2,2,2,2,3,5,2,2,4,0.7,2.1,-2,4.423,0.204,-1.566,3.849,Authoritative,,,,Neglectful,,,,
24,2022/12/20 9:07:13 PM GMT+5,19,Day Scholar,5,4,5,3,5,5,5,1,1,5,1,4,1,1,4,5,3,4,4,3,3,3,1,2,4,5,3,1,4,0.8,2.7,-2,2.2745,-0.0805,-0.9898,0.8351,Authoritative,,,,Social,"(-4.7,4.4)","0,4.4",,On Either of both ends
25,2022/12/20 9:51:31 PM GMT+5,22,Hostelite,5,5,3,4,4,3,4,1,1,4,2,3,2,1,2,4,2,2,4,1,1,1,5,3,4,4,4,4,4,1,2.8,-2,2.033,0.4031,-0.7515,1.8639,Authoritative,,,,Emotional,"(-3.4,5.7)","(0.4,4.8)",,Emotionally either too stable or less stable
26,2022/12/20 10:43:47 PM GMT+5,19,Day Scholar,3,3,4,4,5,2,3,2,1,4,1,5,3,1,5,4,2,4,4,3,2,4,3,1,4,4,1,1,5,1,2.8,-2,4.1796,-1.3423,-2.6714,0.6222,Authoritative,,,,Financial,"(-2,0)",,,Not Financial Independence
27,2022/12/20 11:02:09 PM GMT+5,21,Hostelite,5,3,5,4,5,4,4,1,1,5,1,4,1,1,3,1,1,3,4,3,3,1,1,2,1,5,3,2,3,1,3,-2,2.2473,1.2446,-0.2672,1.3624,Authoritative,,,,Total,,,,
28,2022/12/20 11:04:18 PM GMT+5,20,Hostelite,3,2,4,3,4,4,4,1,1,3,2,4,3,2,3,4,3,2,3,4,2,3,3,3,2,4,2,4,2,1.1,3,-2,3.9207,-0.6778,-1.2391,1.8176,Authoritative,,,,Average,,,,
31,2022/12/21 3:31:55 PM GMT+5,21,Hostelite,5,5,5,5,5,5,4,3,1,5,5,3,1,1,4,5,1,3,5,1,1,1,1,3,5,1,5,1,5,1.3,3.1,-2,4.6283,0.7907,-1.3637,3.0818,Authoritative,,,,,,,,
34,2022/12/21 7:50:23 PM GMT+5,22,Hostelite,4,5,4,4,2,4,2,4,2,5,1,4,1,1,5,5,1,5,5,4,1,1,3,1,3,5,1,1,5,1.4,3.4,-2,1.8484,-0.2016,-0.4753,0.8903,Authoritative,,,,,,,,
35,2022/12/21 8:20:45 PM GMT+5,20,Day Scholar,2,2,4,3,3,5,2,1,1,3,1,3,1,1,3,5,3,5,5,2,2,2,1,1,1,5,1,1,3,1.4,3.4,-2,3.7532,-0.528,-1.5808,3.5044,Authoritative,,,,Permissive,,,,
37,2022/12/21 9:45:14 PM GMT+5,18,Day Scholar,4,4,3,4,5,1,4,1,1,3,1,4,2,2,4,4,1,3,1,2,1,3,4,4,1,4,1,1,2,1.7,3.4,-2,4.5757,-0.9066,-2.2889,3.5199,Authoritative,,,,Social,"(2.4,7)",,,Most stable
40,2022/12/21 9:55:16 PM GMT+5,20,Day Scholar,5,5,5,1,5,5,4,1,1,5,1,5,1,1,5,1,1,5,5,1,1,1,5,1,5,5,5,5,5,1.7,3.5,-2,3.7245,0.4036,-1.8753,2.3387,Authoritative,,,,Emotional,"(4.1,6)",,,Most stable
